id,name
414,Joseph Schildkraut
415,Keanu Reeves
416,Channing Tatum
417,Hugh Jackman
418,Dwayne Johnson
419,Adam Sandler
420,Daniel Radcliffe
421,Daniel Craig
422,Henry Cavill
423,Vin Diesel
424,Ben Affleck
425,Chris Pine
426,Olympia Dukakis
427,Peggy Ashcroft
428,Linda Hunt
429,Maureen Stapleton
430,Mary Steenburgen
431,Beatrice Straight
432,Vanessa Redgrave
433,Lee Grant
434,Eileen Heckart
435,Cloris Leachman
436,Ruth Gordon
437,Estelle Parsons
438,Sandy Dennis
439,Shelley Winters
440,Maggie Gyllenhaal
441,Katie Holmes
442,Patty Duke
443,Rita Moreno
444,Wendy Hiller
445,Miyoshi Umeki
446,Dorothy Malone
447,Jo Van Fleet
448,Eva Marie Saint
449,Gloria Grahame
450,Kim Hunter
451,Lee J. Cobb
452,Andrew Garfield
453,John Cazale
454,Jeremy Renner
455,Steve Carell
456,Jean Dujardin
457,Chris Evans
458,James Franco
459,Zach Galifianakis
460,Will Ferrell
461,Shia LaBeouf
462,Seth Rogen
463,Joseph Gordon-Levitt
464,Ryan Reynolds
465,Paul Rudd
466,Jason Segel
467,Jason Statham
468,Dick Van Dyke
469,Jesse Eisenberg
470,Owen Wilson
471,Jason Bateman
472,Tyler Perry
473,Liam Hemsworth
474,William Shatner
475,Gene Wilder
476,Thora Birch
477,Claire Trevor
478,Celeste Holm
479,Anne Baxter
480,Queen Latifah
481,Ethel Barrymore
482,Rosario Dawson
483,Teresa Wright
484,Mary Astor
485,Jane Darwell
486,Alicia Vikander
487,Mia Wasikowska
488,Abigail Breslin
489,Gale Sondergaard
490,Melissa McCarthy
491,Tina Fey
492,Zoe Saldana
493,Elisabeth Moss
494,Adrianne Palicki
495,Jennifer Garner
496,Kristen Wiig
497,June Squibb
498,Sally Hawkins
499,Kaley Cuoco
500,Naomi Watts
501,Robert Pattinson
502,Charlie Hunnam
503,Nicholas Hoult
504,Aaron Taylor-Johnson
505,Bryan Cranston
506,Gerard Butler
507,Paul Walker
508,Karl Urban
509,Logan Lerman
510,Dave Franco
511,Tom Hiddleston
512,Peter Dinklage
513,Taylor Kitsch
514,Edward Norton
515,Guy Pearce
516,Mark Ruffalo
517,Mickey Rourke
518,Frank Langella
519,Eddie Redmayne
520,David Strathairn
521,Terrence Howard
522,Ralph Fiennes
523,Tom Wilkinson
524,Richard Farnsworth
525,Nick Nolte
526,AnnaSophia Robb
527,Gemma Arterton
528,Olivia Wilde
529,Isla Fisher
530,Shailene Woodley
531,Rebel Wilson
532,Emma Roberts
533,Amber Heard
534,Teresa Palmer
535,Saoirse Ronan
536,Elizabeth Banks
537,Ida Lupino
538,Natalie Dormer
539,Brittany Snow
540,Kate Mara
541,Julianne Hough
542,Lily Collins
543,Cobie Smulders
544,Alice Eve
545,Jamie Chung
546,Noomi Rapace
547,Blake Lively
548,Maggie Grace
549,Jessica Biel
550,Eva Green
551,Peter Fonda
552,Woody Harrelson
553,Billy Bob Thornton
554,Idris Elba
555,Nigel Hawthorne
556,Laurence Fishburne
557,Stephen Rea
558,Warren Beatty
559,Richard Harris
560,John Cusack
561,Kenneth Branagh
562,Edward James Olmos
563,Max von Sydow
564,Bruce Dern
565,Bob Hoskins
566,James Woods
567,John Hawkes
568,James Garner
569,Sam Waterston
570,Tom Hulce
571,Albert Finney
572,Tom Conti
573,Tom Courtenay
574,Dudley Moore
575,John Hurt
576,Kat Dennings
577,Priyanka Chopra
578,Emmanuelle Riva
579,Greta Gerwig
580,Brie Larson
581,Jessica Lucas
582,Maria Falconetti
583,Greer Garson
584,Rosalind Russell
585,Raquel Welch
586,Linda Fiorentino
587,Gabourey Sidibe
588,Judy Davis
589,Mia Farrow
590,Audrey Tautou
591,Jeanne Moreau
592,Jane Wyman
593,Gena Rowlands
594,Lesley Manville
595,Elizabeth Olsen
596,Nastassja Kinski
597,Mélanie Laurent
598,Whitney Houston
599,Felicity Huffman
600,Imelda Staunton
601,Oscar Isaac
602,Jon Heder
603,Miles Teller
604,Daniel Brühl
605,James Gandolfini
606,Michael B. Jordan
607,Anthony Perkins
608,David Thewlis
609,Klaus Kinski
610,Malcolm McDowell
611,Ray Winstone
612,Jean-Paul Belmondo
613,Andy Serkis
614,Matthew Broderick
615,Dennis Hopper
616,Michael Rooker
617,Vincent Gallo
618,Kevin Spacey
619,Vincent Cassel
620,J.K. Simmons
621,Boris Karloff
622,Peter Lorre
623,Matthew McConaughey
624,Paddy Considine
625,Ryan Phillippe
626,Kerry Washington
627,Carrie-Anne Moss
628,Janet Leigh
629,Catalina Sandino Moreno
630,Samantha Morton
631,Keisha Castle-Hughes
632,Barbara Stanwyck
633,Joan Allen
634,Janet McTeer
635,Fernanda Montenegro
636,Kristin Scott Thomas
637,Brenda Blethyn
638,Elisabeth Shue
639,Miranda Richardson
640,Stockard Channing
641,Luise Rainer
642,Mary McDonnell
643,Lucille Ball
644,Laura Dern
645,Pauline Collins
646,Isabelle Adjani
647,Melanie Griffith
648,Sally Kirkland
649,Jane Alexander
650,Marsha Mason
651,Freddie Highmore
652,Michael J. Fox
653,John Travolta
654,Yun-Fat Chow
655,Seth MacFarlane
656,Jet Li
657,John Houseman
658,Chuck Norris
659,Jean-Claude Van Damme
660,Sam Rockwell
661,Takashi Shimura
662,Richard E. Grant
663,Leslie Nielsen
664,Simon Pegg
665,John Malkovich
666,Michael Shannon
667,Martin Sheen
668,Christopher Guest
669,Alan Rickman
670,Jackie Earle Haley
671,Gig Young
672,James Spader
673,Eric Bana
674,Romain Duris
675,Robert Shaw
676,Jacki Weaver
677,Bérénice Bejo
678,Hailee Steinfeld
679,Jennifer Jason Leigh
680,Kathleen Quinlan
681,Taraji P. Henson
682,Amy Ryan
683,Ruby Dee
684,Jill Clayburgh
685,Adriana Barraza
686,Rinko Kikuchi
687,Catherine Keener
688,Charlotte Rampling
689,Sophie Okonedo
690,Patricia Clarkson
691,Shohreh Aghdashloo
692,Lindsay Lohan
693,Michelle Trachtenberg
694,Chloë Sevigny
695,Lynn Redgrave
696,Rachel Griffiths
697,Margot Robbie
698,Lili Taylor
699,Robin Weigert
700,Lake Bell
701,Claude Rains
702,Steve Buscemi
703,John Rhys-Davies
704,Jean-Louis Trintignant
705,Joseph Cotten
706,Barry Pepper
707,Erich von Stroheim
708,Patrick Wilson
709,Christopher Lloyd
710,Ben Foster
711,Joel McCrea
712,Min-sik Choi
713,Ewan McGregor
714,Gael García Bernal
715,Bruno Ganz
716,Sean Astin
717,Irrfan Khan
718,Michael C. Hall
719,Roy Scheider
720,Casey Affleck
721,Gary Busey
722,Norman Reedus
723,Jeff Daniels
724,Stanley Tucci
725,Kiefer Sutherland
726,Michelle Yeoh
727,Léa Seydoux
728,Dakota Johnson
729,Julie Delpy
730,Linda Hamilton
731,Carrie Fisher
732,Pam Grier
733,Björk
734,Emily Browning
735,Juliette Lewis
736,Sarah Jessica Parker
737,Piper Laurie
738,Miley Cyrus
739,Lily Tomlin
740,Jane Seymour
741,Gloria Stuart
742,Talia Shire
743,Gal Gadot
744,Sue Lyon
745,Olivia Newton-John
746,Minnie Driver
747,Teri Garr
748,Keri Russell
749,Jean Seberg
750,Sarah Polley
751,Josh Brolin
752,Hal Holbrook
753,Djimon Hounsou
754,Matt Dillon
755,Alan Alda
756,Thomas Haden Church
757,Clive Owen
758,Ken Watanabe
759,Suraj Sharma
760,John C. Reilly
761,Michael Clarke Duncan
762,Haley Joel Osment
763,Greg Kinnear
764,Burt Reynolds
765,Robert Forster
766,Jason Schwartzman
767,William H. Macy
768,Armin Mueller-Stahl
769,Tim Roth
770,James Cromwell
771,Chazz Palminteri
772,Gary Sinise
773,Paul Scofield
774,Pete Postlethwaite
775,Hugo Weaving
776,Jada Pinkett Smith
777,Tatum O'Neal
778,Anna Faris
779,Hattie McDaniel
780,Famke Janssen
781,Rosamund Pike
782,Bonnie Hunt
783,Leslie Mann
784,Mindy Kaling
785,Thandie Newton
786,Amy Poehler
787,Amanda Peet
788,Julia Stiles
789,Maria Bello
790,Eva Mendes
791,Emily Blunt
792,Rose Byrne
793,Ashley Judd
794,Emilia Clarke
795,Christina Applegate
796,Nia Long
797,Felicity Jones
798,Téa Leoni
799,Alexandra Daddario
800,Jena Malone
801,Richard Gere
802,Nick Frost
803,Ray Liotta
804,Chris Rock
805,Jon Hamm
806,Neil Patrick Harris
807,Charlie Sheen
808,Mark Rylance
809,Andy Garcia
810,Michael Lerner
811,Graham Greene
812,Bruce Davison
813,Dan Aykroyd
814,Danny Aiello
815,River Phoenix
816,Dean Stockwell
817,Billy Crystal
818,John Goodman
819,Orlando Bloom
820,Stellan Skarsgård
821,Alexander Skarsgård
822,Mike Myers
823,Tyrese Gibson
824,Elijah Wood
825,Danny DeVito
826,Susan Hayward
827,Michelle Rodriguez
828,Sarah Michelle Gellar
829,Sandra Oh
830,Margot Kidder
831,Beyoncé
832,Rebecca Hall
833,Piper Perabo
834,Courteney Cox
835,Parker Posey
836,Paula Patton
837,Michelle Monaghan
838,Claire Danes
839,Allison Janney
840,Kate Bosworth
841,Evan Rachel Wood
842,Mira Sorvino
843,Ziyi Zhang
844,Amanda Bynes
845,Lisa Kudrow
846,Brit Marling
847,Cynthia Erivo
848,Sofía Vergara
849,Mandy Moore
850,Virginia Madsen
851,James Marsden
852,Tim Allen
853,Giovanni Ribisi
854,Rutger Hauer
855,Vince Vaughn
856,Brian Cox
857,Dennis Quaid
858,John Leguizamo
859,Michael Keaton
860,Billy Burke
861,Brendan Gleeson
862,Charles Bronson
863,Jonathan Pryce
864,Tobey Maguire
865,Michael Sheen
866,Justin Long
